site,seed,test_auc,val_auc,ece,temperature,n_test,hp,secs
LEUVEN_1,1234,0.44387755102040816,0.6019607843137256,0.13893696665763855,4.134217262268066,28,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",293.1
LEUVEN_2,42,0.4982456140350877,0.6255961844197139,0.042893227408914006,1.8807833194732666,34,"{""hidden"": 64, ""layers"": 3, ""k"": 5, ""dropout"": 0.3}",172.6
LEUVEN_2,123,0.6,0.6261923688394277,0.015189458342159502,2.368992567062378,34,"{""hidden"": 64, ""layers"": 3, ""k"": 5, ""dropout"": 0.3}",396.1
LEUVEN_2,456,0.5894736842105264,0.5953895071542131,0.07064867720884438,3.048408031463623,34,"{""hidden"": 64, ""layers"": 3, ""k"": 5, ""dropout"": 0.3}",296.1
LEUVEN_2,789,0.6701754385964912,0.6293720190779014,0.08559231898363899,1.5116968154907227,34,"{""hidden"": 64, ""layers"": 3, ""k"": 5, ""dropout"": 0.3}",149.3
LEUVEN_2,1234,0.6280701754385964,0.6065182829888712,0.04559773732634156,2.5379750728607178,34,"{""hidden"": 64, ""layers"": 3, ""k"": 5, ""dropout"": 0.3}",197.4
MAX_MUN,42,0.4772727272727273,0.5526477203025966,0.08366835117340088,4.520180702209473,48,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",207.5
MAX_MUN,123,0.5874125874125874,0.6240032713146596,0.042408679922421755,1.9458085298538208,48,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",249.8
MAX_MUN,456,0.5122377622377623,0.6348395011245145,0.07816380634903905,2.9546902179718018,48,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",211.1
MAX_MUN,789,0.5821678321678321,0.6088734410141076,0.09945630654692651,2.6918911933898926,48,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",511.1
MAX_MUN,1234,0.6013986013986014,0.5859742383970559,0.014092461516459778,4.097947120666504,48,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",384.9
NYU,42,0.4989079989079989,0.6060688901038818,0.048623183214595564,2.1086795330047607,173,"{""hidden"": 64, ""layers"": 3, ""k"": 10, ""dropout"": 0.3}",153.6
NYU,123,0.6060606060606061,0.5847457627118644,0.0558540979561778,1.4215071201324463,173,"{""hidden"": 64, ""layers"": 3, ""k"": 10, ""dropout"": 0.3}",126.7
NYU,456,0.5834015834015835,0.6268452706396938,0.05235880888955441,1.6861170530319214,173,"{""hidden"": 64, ""layers"": 3, ""k"": 10, ""dropout"": 0.3}",143.1
NYU,789,0.6063336063336063,0.6377802077638053,0.06892770011990056,0.8579668402671814,173,"{""hidden"": 64, ""layers"": 3, ""k"": 10, ""dropout"": 0.3}",126.0
NYU,1234,0.561015561015561,0.6254784034991799,0.049083460617616675,2.735342264175415,173,"{""hidden"": 64, ""layers"": 3, ""k"": 10, ""dropout"": 0.3}",189.5
OHSU,42,0.6089743589743589,0.5671497584541063,0.029079546928405725,3.061947822570801,25,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",153.9
OHSU,123,0.6025641025641025,0.5980676328502416,0.16932003498077394,1.4886326789855957,25,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",154.6
OHSU,456,0.5448717948717948,0.5860869565217391,0.06365936279296874,1.3395354747772217,25,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",121.0
OHSU,789,0.49999999999999994,0.5460869565217392,0.04107298374176027,4.848804950714111,25,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",182.0
OHSU,1234,0.6602564102564102,0.5971014492753624,0.0808002209663391,2.15798020362854,25,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",224.5
OLIN,42,0.6111111111111112,0.6583084577114429,0.13162677215807367,1.4694746732711792,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",204.9
OLIN,123,0.6518518518518518,0.6370149253731343,0.18816500360315497,1.3161652088165283,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",178.8
OLIN,456,0.4925925925925926,0.6290547263681593,0.09622525626962837,0.8038504719734192,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",135.0
OLIN,789,0.5037037037037038,0.6670646766169155,0.29003324111302686,0.8973605632781982,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",148.5
OLIN,1234,0.7444444444444445,0.6378109452736319,0.1020846132076148,1.498867392539978,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",194.7
PITT,42,0.6068376068376068,0.661892901618929,0.08586244200760464,1.6710540056228638,53,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",193.4
PITT,123,0.6552706552706552,0.6068908260689083,0.06979078391812883,2.896559476852417,53,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",207.2
PITT,456,0.6153846153846154,0.6465338314653384,0.05051153223469572,1.4014431238174438,53,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",154.4
PITT,789,0.6752136752136751,0.6650062266500623,0.022798956565137148,1.0751527547836304,53,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",144.1
PITT,1234,0.6339031339031339,0.6579493565794936,0.08259231976743012,1.4790600538253784,53,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",216.7
SBL,42,0.3021978021978022,0.5674509803921569,0.2180750988147877,2.8198394775390625,27,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",149.5
SBL,123,0.41208791208791207,0.5994117647058823,0.18945211834377712,1.2051557302474976,27,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",153.8
SBL,456,0.423076923076923,0.605294117647059,0.09630661982077136,1.5799816846847534,27,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",163.4
SBL,789,0.3131868131868132,0.5549019607843138,0.15159012653209547,4.142183780670166,27,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",180.7
SBL,1234,0.5714285714285714,0.6162745098039215,0.09105694293975829,2.612250566482544,27,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",357.1
SDSU,42,0.6198347107438017,0.5683624801271859,0.07654015403805359,4.013879776000977,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",136.9
SDSU,123,0.6859504132231404,0.5906200317965024,0.06330267407677392,2.3673386573791504,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",200.0
SDSU,456,0.6694214876033058,0.6218203497615262,0.1378348271052043,2.551055431365967,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",179.1
SDSU,789,0.6818181818181819,0.6156597774244833,0.08909017389470882,3.328089475631714,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",194.1
SDSU,1234,0.6363636363636364,0.654610492845787,0.1026975584752632,1.7520265579223633,33,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",166.6
STANFORD,42,0.5201238390092879,0.6176470588235294,0.07105472683906558,1.737856149673462,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",221.5
STANFORD,123,0.4922600619195047,0.6104928457869634,0.12000071340137061,1.6676115989685059,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",186.3
STANFORD,456,0.4365325077399381,0.6180445151033387,0.15264730321036446,1.9587517976760864,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",244.8
STANFORD,789,0.5015479876160991,0.5973767885532592,0.04402714305453832,1.8140963315963745,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",172.3
STANFORD,1234,0.5572755417956656,0.6184419713831478,0.06258230408032739,2.07745361328125,36,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",225.8
TRINITY,42,0.4166666666666667,0.6339249697458652,0.0833695345454746,2.380986452102661,45,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",271.9
TRINITY,123,0.4543650793650794,0.5582896329164986,0.0580712874730428,2.997675895690918,45,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",227.3
TRINITY,456,0.36706349206349204,0.5802743041549012,0.06715712149937947,3.8731353282928467,45,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",444.7
TRINITY,789,0.45634920634920634,0.6304961678096006,0.05168454249699915,2.5909550189971924,45,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",344.7
TRINITY,1234,0.5376984126984127,0.6159741831383622,0.06490852700339425,1.9931808710098267,45,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",217.2
UCLA_1,42,0.6314516129032257,0.5637842465753424,0.02356541072818596,3.297250270843506,71,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",291.0
UCLA_1,123,0.6,0.5796232876712328,0.03656243774252874,2.238100290298462,71,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",209.7
UCLA_1,456,0.6185483870967742,0.5522260273972602,0.0008008454886960781,3.2810864448547363,71,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",219.1
UCLA_1,789,0.5637096774193548,0.5706335616438356,0.13230622486329413,3.193861484527588,71,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",202.3
UCLA_1,1234,0.5983870967741935,0.5866866438356164,0.05319064351874336,2.8695390224456787,71,"{""hidden"": 64, ""layers"": 2, ""k"": 5, ""dropout"": 0.3}",342.7
UCLA_2,42,0.5416666666666666,0.5729489164086689,0.07891194025675458,3.516895294189453,24,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",246.6
UCLA_2,123,0.6041666666666667,0.6011996904024768,0.12220541636149088,1.8799850940704346,24,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",316.5
UCLA_2,456,0.5555555555555556,0.5770123839009288,0.09990783532460529,3.3868186473846436,24,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",231.0
UCLA_2,789,0.5277777777777778,0.5671439628482973,0.03893936673800146,2.697801351547241,24,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",176.2
UCLA_2,1234,0.5486111111111112,0.5822368421052633,0.27868400514125824,2.7540078163146973,24,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",254.0
UM_1,42,0.6113624937154349,0.6078125,0.04014431304401821,1.9834977388381958,90,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",167.7
UM_1,123,0.5751633986928104,0.6131696428571428,0.04509362710846793,0.9461298584938049,90,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",121.0
UM_1,456,0.6329813976872801,0.5720982142857143,0.04033121400409273,2.059494733810425,90,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",144.0
UM_1,789,0.5952740070387129,0.6022321428571429,0.033057251241472047,2.054922103881836,90,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",162.1
UM_1,1234,0.5952740070387129,0.6272321428571429,0.042122842205895315,2.1877102851867676,90,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",256.3
UM_2,42,0.5482456140350876,0.6205882352941177,0.09073967510654077,2.317976951599121,31,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",219.5
UM_2,123,0.456140350877193,0.5890196078431373,0.028188601616890165,2.6408333778381348,31,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",223.9
UM_2,456,0.3377192982456141,0.6011764705882352,0.0404544876467797,2.849752187728882,31,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",158.6
UM_2,789,0.42105263157894735,0.6096078431372548,0.019462629672019727,2.8287951946258545,31,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",195.3
UM_2,1234,0.4736842105263158,0.603921568627451,0.04959012231519144,1.8546576499938965,31,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",146.9
USM,42,0.4514285714285714,0.633347602739726,0.1902900151352384,3.6627886295318604,67,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",459.0
USM,123,0.5152380952380953,0.6243578767123288,0.16282060431010686,1.7316728830337524,67,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",170.0
USM,456,0.5247619047619048,0.7089041095890412,0.2783726231375737,3.121847152709961,67,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",453.7
USM,789,0.4514285714285714,0.6164383561643836,0.19307600829138685,2.506849527359009,67,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",315.3
USM,1234,0.4980952380952381,0.625,0.09131444923913301,0.5928283333778381,67,"{""hidden"": 64, ""layers"": 4, ""k"": 10, ""dropout"": 0.3}",207.9
YALE,42,0.6670918367346939,0.5877957658779577,0.014955736696720127,3.8397328853607178,56,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",265.2
YALE,123,0.7959183673469388,0.6205894562058946,0.05237568382705962,4.706050872802734,56,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",296.3
YALE,456,0.7602040816326531,0.5780406807804068,0.13620956880705698,5.728780746459961,56,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",404.8
YALE,789,0.7512755102040817,0.5628891656288917,0.1469777120011193,2.4851253032684326,56,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",215.3
YALE,1234,0.7857142857142857,0.5946450809464507,0.07837514047111785,2.855135440826416,56,"{""hidden"": 64, ""layers"": 2, ""k"": 10, ""dropout"": 0.3}",330.9
