site,seed,test_auc,val_auc,ece,temperature,n_test,hp,secs
OHSU,1234,0.4935897435897436,0.6454106280193237,0.09508291721343996,2.419536828994751,25,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",62.8
OLIN,42,0.6037037037037036,0.6704477611940298,0.11807921619126287,0.668321430683136,33,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",32.8
OLIN,123,0.625925925925926,0.6575124378109454,0.06254219286369556,0.9449754953384399,33,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",34.2
OLIN,456,0.6370370370370371,0.6644776119402985,0.08914398966413555,0.970493733882904,33,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",39.3
OLIN,789,0.6074074074074074,0.6439800995024876,0.02163596586747605,1.157297134399414,33,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",50.9
OLIN,1234,0.5296296296296297,0.6616915422885572,0.1145029772411693,1.2695239782333374,33,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",42.9
PITT,42,0.5612535612535613,0.6378165213781651,0.05730759310272503,0.5389763116836548,53,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",27.7
PITT,123,0.7207977207977208,0.6100041511000416,0.02074359497934016,1.9744831323623657,53,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",52.6
PITT,456,0.6111111111111112,0.6571191365711914,0.1069082122928691,1.5706853866577148,53,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",41.2
PITT,789,0.6125356125356124,0.6095890410958904,0.02740014836473287,1.1316077709197998,53,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",30.4
PITT,1234,0.725071225071225,0.628684101286841,0.13186212868060712,1.2683703899383545,53,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",57.1
SBL,42,0.5439560439560439,0.594313725490196,0.023758497503068694,1.6209821701049805,27,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",34.3
SBL,123,0.34615384615384615,0.6041176470588235,0.09960847430759005,1.4798773527145386,27,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",27.7
SBL,456,0.5384615384615384,0.5643137254901961,0.04669339568526659,0.9542784094810486,27,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",20.2
SBL,789,0.5164835164835165,0.5956862745098038,0.022702265668798405,1.213558316230774,27,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",32.0
SBL,1234,0.3461538461538461,0.5862745098039216,0.20350632181874026,1.4736343622207642,27,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",36.1
SDSU,42,0.6363636363636364,0.6220190779014309,0.10941757216598048,0.9047056436538696,33,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",26.5
SDSU,123,0.5785123966942148,0.6200317965023848,0.06102161515842785,0.8272691369056702,33,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",24.3
SDSU,456,0.6818181818181819,0.6552066772655009,0.303030303030303,9.580558980815113e-06,33,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",28.6
SDSU,789,0.5909090909090909,0.6293720190779014,0.0399201837452975,0.649095356464386,33,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",28.6
SDSU,1234,0.7396694214876032,0.6591812400635929,0.2945408568237767,0.8011990785598755,33,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",27.9
STANFORD,42,0.5541795665634676,0.6335453100158982,0.138780920041932,0.9488526582717896,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",30.1
STANFORD,123,0.5263157894736842,0.6782591414944356,0.13734901448090872,0.8196857571601868,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",27.7
STANFORD,456,0.56656346749226,0.5786963434022258,0.07133206725120542,2.4345991611480713,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",40.8
STANFORD,789,0.5913312693498451,0.6399046104928457,0.046262363592783656,0.999959409236908,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",29.8
STANFORD,1234,0.5727554179566563,0.6059220985691574,0.09894939429230162,0.801933765411377,36,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",23.4
TRINITY,42,0.45634920634920634,0.598830173457039,0.07282906903160946,2.2667007446289062,45,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",33.2
TRINITY,123,0.5257936507936508,0.5778539733763615,0.0521774013837179,3.4503090381622314,45,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",35.3
TRINITY,456,0.5357142857142858,0.6016538926986688,0.04017601940366956,3.546753406524658,45,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",51.0
TRINITY,789,0.496031746031746,0.563735377168213,0.04764635297987201,3.9017839431762695,45,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",36.7
TRINITY,1234,0.4345238095238095,0.6046793061718434,0.08068854411443074,2.1114182472229004,45,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",35.7
UCLA_1,42,0.5830645161290323,0.5616438356164384,0.06255714910131109,1.609160304069519,71,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",26.7
UCLA_1,123,0.5443548387096775,0.5592893835616438,0.03161878736925798,2.3918402194976807,71,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",29.9
UCLA_1,456,0.6137096774193548,0.5318921232876712,0.038893501523514895,3.3448376655578613,71,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",28.7
UCLA_1,789,0.5096774193548388,0.6029537671232877,0.10836329174713347,2.145632743835449,71,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",40.5
UCLA_1,1234,0.5403225806451613,0.5860445205479452,0.07782426686354083,1.7497239112854004,71,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",31.4
UCLA_2,42,0.45138888888888884,0.5652089783281733,0.03735502064228059,2.3664028644561768,24,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",31.4
UCLA_2,123,0.5,0.5961687306501549,0.038662354151407896,1.8412803411483765,24,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",32.4
UCLA_2,456,0.5347222222222222,0.5884287925696594,0.020920217037200928,0.9139789938926697,24,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",20.9
UCLA_2,789,0.5208333333333334,0.5921052631578948,0.06573145588239032,1.6632763147354126,24,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",29.4
UCLA_2,1234,0.513888888888889,0.5837848297213623,0.05555555969476698,1.1845000982284546,24,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",29.1
UM_1,42,0.6505781799899447,0.6341517857142858,0.06452650030453999,1.292177438735962,90,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",49.3
UM_1,123,0.6661639014580192,0.6511160714285714,0.04179580344094172,0.8979551196098328,90,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",28.1
UM_1,456,0.6023127199597788,0.6122767857142858,0.09191711478763157,1.3385180234909058,90,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",28.7
UM_1,789,0.644544997486174,0.6214285714285714,0.07187060117721558,1.2548627853393555,90,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",34.7
UM_1,1234,0.6576168929110106,0.6602678571428571,0.08217124210463629,0.8460127711296082,90,"{""hidden"": 32, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",40.3
UM_2,42,0.3859649122807018,0.5905882352941176,0.1457767967254885,4.495236396789551,31,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",59.6
UM_2,123,0.34649122807017546,0.6219607843137255,0.09826906842570149,1.9416121244430542,31,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",37.9
UM_2,456,0.35526315789473684,0.6058823529411765,0.2574415918319456,1.919188380241394,31,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",54.9
UM_2,789,0.4868421052631579,0.5909803921568628,0.04383279431250786,3.029977560043335,31,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",38.9
UM_2,1234,0.3596491228070176,0.5990196078431372,0.21461993455886844,3.1678342819213867,31,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",46.3
USM,42,0.439047619047619,0.6072345890410958,0.16648990182734247,1.4759159088134766,67,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",40.0
USM,123,0.3904761904761905,0.6100171232876713,0.22393557206908268,3.416091203689575,67,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",43.2
USM,456,0.4504761904761905,0.6337756849315069,0.2236849407651531,1.9457917213439941,67,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",42.5
USM,789,0.4371428571428571,0.6217893835616439,0.1931627463938585,1.5696098804473877,67,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",38.0
USM,1234,0.4590476190476191,0.594820205479452,0.12015563160625853,2.048267126083374,67,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",38.2
YALE,42,0.7321428571428571,0.5759651307596513,0.04830434066908697,2.781276226043701,56,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",46.0
YALE,123,0.7410714285714286,0.5755500207555002,0.10479789759431565,5.478905200958252,56,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",60.0
YALE,456,0.7372448979591836,0.6122872561228725,0.07671915207590378,2.1360814571380615,56,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",70.1
YALE,789,0.7232142857142857,0.5552096305520964,0.12650255433150698,3.6425633430480957,56,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",85.2
YALE,1234,0.5943877551020409,0.5755500207555002,0.0655597597360611,5.978516101837158,56,"{""hidden"": 64, ""layers"": 2, ""tau"": 0.3, ""dropout"": 0.3}",141.8
